tract,Name,Incarceration_Rate_rP_gP_p25
25025120105,"Jamaica Hills / Pond, Boston, MA",0.0574
25025110601,"Brook Farm, Boston, MA",0.0309
25025110501,"Roslindale, Boston, MA",0.0269
25025130100,"West Roxbury, Boston, MA",0.0266
25021404201,"Wellesley, MA",0.0241
25025000504,"Brighton, Boston, MA",0.0238
25021404100,"Wellesley, MA",0.0234
25017373700,"Newton Centre, Newton, MA",0.023
25025000602,"Brighton, Boston, MA",0.0228
25025130300,"West Roxbury, Boston, MA",0.0204
25017373400,"Newtonville, Newton, MA",0.0199
25017374400,"West Newton, Newton, MA",0.0193
25017374800,"Auburndale, Newton, MA",0.014
25025000502,"Brighton, Boston, MA",0.0122
25021457200,"Needham, MA",0.0115
25021401200,"Chestnut Hill, Brookline, MA",0.0104
25021403500,"Needham Heights, Needham, MA",0.0103
25017374200,"Newton Highlands, Newton, MA",0.0102
25021400700,"Emerson Gardens, Brookline, MA",0.0084
25021403400,"Needham, MA",0.0083
25017374100,"Newton Upper Falls, Newton, MA",0.0082
25017373800,"Newton Centre, Newton, MA",0.0069
25017373900,"Oak Hill, Newton, MA",0.0068
25017373500,"Newton Corner, Newton, MA",0.0063
25025000401,"Brighton, Boston, MA",0.0054
25021400500,"Aspinwall Hill, Brookline, MA",0.0048
25017367200,"Weston, MA",0.0044
25025110607,"Roslindale, Boston, MA",0.0033
25021400400,"Corey Hill, Brookline, MA",0.0024
25021400300,"North Brookline, Brookline, MA",0.001
25017374700,"Auburndale, Newton, MA",0
25025000503,"Brighton, Boston, MA",0
25025000402,"Brighton, Boston, MA",0
25017374300,"Waban, Newton, MA",0
25025000701,"Allston, Boston, MA",0
25025130200,"Brook Farm, Boston, MA",0
25017374500,"West Newton, Newton, MA",0
25025000302,"Brighton, Boston, MA",0
25021400600,"Fisher Hill, Brookline, MA",0
25017373600,"Chestnut Hill, Newton, MA",0
25017374000,"Oak Hill, Newton, MA",0
25021403100,"Needham, MA",0
25021401100,"Brookline, MA",0
25025110502,"Roslindale, Boston, MA",0
25021404202,"Babson Park, Wellesley, MA",0
25025981000,"Roslindale, Boston, MA",